"","Var1","Var2","Freq"
"708","Noise - Commercial","11212",68
"709","Noise - Street/Sidewalk","11212",365
"710","Rodent","11212",413
"711","Food Establishment","11213",60
"712","Illegal Parking","11213",695
"713","Noise - Commercial","11213",230
"714","Noise - Street/Sidewalk","11213",897
"715","Rodent","11213",447
"716","Food Establishment","11214",67
"717","Illegal Parking","11214",3159
"718","Noise - Commercial","11214",104
"719","Noise - Street/Sidewalk","11214",214
"720","Rodent","11214",164
"721","Food Establishment","11215",120
"722","Illegal Parking","11215",1872
"723","Noise - Commercial","11215",483
"724","Noise - Street/Sidewalk","11215",365
"725","Rodent","11215",479
"726","Food Establishment","11216",100
"727","Illegal Parking","11216",775
"728","Noise - Commercial","11216",1025
"729","Noise - Street/Sidewalk","11216",1274
"730","Rodent","11216",771
"731","Food Establishment","11217",95
"732","Illegal Parking","11217",1487
"733","Noise - Commercial","11217",1566
"734","Noise - Street/Sidewalk","11217",456
"735","Rodent","11217",439
"736","Food Establishment","11218",65
"737","Illegal Parking","11218",2491
"738","Noise - Commercial","11218",164
"739","Noise - Street/Sidewalk","11218",302
"740","Rodent","11218",184
"741","Food Establishment","11219",38
"742","Illegal Parking","11219",1915
"743","Noise - Commercial","11219",132
"744","Noise - Street/Sidewalk","11219",182
"745","Rodent","11219",161
"746","Food Establishment","11220",107
"747","Illegal Parking","11220",2013
"748","Noise - Commercial","11220",378
"749","Noise - Street/Sidewalk","11220",498
"750","Rodent","11220",188
"751","Food Establishment","11221",65
"752","Illegal Parking","11221",790
"753","Noise - Commercial","11221",462
"754","Noise - Street/Sidewalk","11221",1149
"755","Rodent","11221",788
"756","Food Establishment","11222",60
"757","Illegal Parking","11222",983
"758","Noise - Commercial","11222",699
"759","Noise - Street/Sidewalk","11222",393
"760","Rodent","11222",296
"761","Food Establishment","11223",75
"762","Illegal Parking","11223",3082
"763","Noise - Commercial","11223",108
"764","Noise - Street/Sidewalk","11223",152
"765","Rodent","11223",124
"766","Food Establishment","11224",33
"767","Illegal Parking","11224",395
"768","Noise - Commercial","11224",46
"769","Noise - Street/Sidewalk","11224",184
"770","Rodent","11224",81
"771","Food Establishment","11225",56
"772","Illegal Parking","11225",766
"773","Noise - Commercial","11225",287
